run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251229-0940_SWINxAE.pt,0.832488,0.167512,0.713045,0.992722,0.925156,0.994069,0.832488,0.885719,0.313230,2162.183986,0.103267,0.010305,0.000240,00:38:40
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251229-1557_SWINxAE.pt,0.895325,0.104675,0.810488,0.995768,0.925835,0.997163,0.895325,0.913385,0.360083,2008.437918,0.129638,0.001393,0.000058,00:38:34
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251229-2254_SWINxAE.pt,0.849053,0.150947,0.737700,0.993575,0.924378,0.994955,0.849053,0.892699,0.370614,1978.159370,0.133713,0.001265,0.000045,00:38:23
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251230-0544_SWINxAE.pt,0.871637,0.128363,0.772479,0.994692,0.921850,0.996145,0.871637,0.901086,0.316866,1985.073760,0.111284,0.010814,0.000170,00:39:54
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251230-1219_SWINxAE.pt,0.787254,0.212746,0.649150,0.990284,0.919623,0.991693,0.787254,0.861671,0.364574,2078.730275,0.139078,0.001698,0.000048,00:39:00
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251230-1835_SWINxAE.pt,0.884853,0.115147,0.793486,0.995296,0.924677,0.996704,0.884853,0.908325,0.367922,1978.030523,0.132824,0.001448,0.000084,00:39:36
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251231-0054_SWINxAE.pt,0.880195,0.119805,0.786024,0.995076,0.925349,0.996466,0.880195,0.906742,0.356688,2032.565785,0.128318,0.008798,0.000242,00:39:52
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251231-0710_SWINxAE.pt,0.846420,0.153580,0.733733,0.993448,0.923685,0.994838,0.846420,0.891146,0.354064,2120.688402,0.127852,0.002251,0.000073,00:39:48
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251231-1326_SWINxAE.pt,0.864060,0.135940,0.760656,0.994324,0.922737,0.995752,0.864060,0.898335,0.356764,2033.946093,0.128128,0.003300,0.000162,00:40:05
SWINxAE,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/AE/20251231-1942_SWINxAE.pt,0.849404,0.150596,0.738229,0.993588,0.925101,0.994953,0.849404,0.893259,0.378676,1944.328993,0.144091,0.001518,0.000054,00:39:56
