run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260119-0742_SWINxPS.pt,0.366843,0.633157,0.224622,0.944743,0.786763,0.948024,0.366843,0.539664,0.474546,98.187243,0.300339,0.003260,0.000571,00:00:30
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260119-1238_SWINxPS.pt,0.745104,0.254896,0.593757,0.989151,0.779326,0.993509,0.745104,0.765266,0.560795,79.391627,0.387545,0.001278,0.000071,00:00:26
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260119-1740_SWINxPS.pt,0.718259,0.281741,0.560377,0.987571,0.778653,0.991910,0.718259,0.753316,0.590646,70.375111,0.419180,0.001291,0.000073,00:00:27
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260119-2225_SWINxPS.pt,0.751299,0.248701,0.601665,0.989730,0.762412,0.994451,0.751299,0.757928,0.578063,72.491808,0.400713,0.001152,0.000067,00:00:27
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260120-0314_SWINxPS.pt,0.760034,0.239966,0.612947,0.990037,0.775460,0.994494,0.760034,0.769215,0.487914,97.153399,0.308988,0.001074,0.000079,00:00:28
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260120-0806_SWINxPS.pt,0.746144,0.253856,0.595080,0.989255,0.776111,0.993682,0.746144,0.763840,0.574359,75.847343,0.394126,0.000892,0.000070,00:00:28
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260120-1250_SWINxPS.pt,0.717292,0.282708,0.559201,0.987297,0.792058,0.991352,0.717292,0.760356,0.581908,75.092088,0.406579,0.001730,0.000081,00:00:26
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260120-1729_SWINxPS.pt,0.751771,0.248229,0.602270,0.989441,0.785881,0.993668,0.751771,0.771872,0.549386,80.363692,0.376345,0.001256,0.000089,00:00:27
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260120-2207_SWINxPS.pt,0.765630,0.234370,0.620260,0.990286,0.779851,0.994656,0.765630,0.774100,0.604213,70.950823,0.418914,0.001038,0.000079,00:00:27
SWINxPS,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/PS/20260121-0248_SWINxPS.pt,0.738494,0.261506,0.585407,0.988667,0.786532,0.992865,0.738494,0.766586,0.570140,78.356580,0.390379,0.001170,0.000081,00:00:28
