run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260115-0744_SWINxS2.pt,0.675497,0.324503,0.510000,0.983516,0.588817,0.995362,0.675497,0.620675,0.584467,25.007107,0.431874,0.001020,0.000146,00:00:34
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260116-0820_SWINxS2.pt,0.687696,0.312304,0.524037,0.982252,0.670625,0.991605,0.687696,0.677351,0.501361,33.453269,0.342199,0.001236,0.000213,00:00:32
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260116-1713_SWINxS2.pt,0.688058,0.311942,0.524458,0.982713,0.654297,0.992570,0.688058,0.667396,0.532938,30.413813,0.376778,0.001160,0.000175,00:00:33
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260117-0240_SWINxS2.pt,0.696637,0.303363,0.534492,0.984045,0.628732,0.994708,0.696637,0.654241,0.613272,23.535918,0.454803,0.000837,0.000155,00:00:32
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260117-1212_SWINxS2.pt,0.697591,0.302409,0.535616,0.982925,0.675903,0.992139,0.697591,0.684414,0.543703,31.073725,0.370347,0.001013,0.000191,00:00:33
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260117-2134_SWINxS2.pt,0.661397,0.338603,0.494095,0.982295,0.593436,0.993966,0.661397,0.618872,0.583140,26.202608,0.440986,0.001293,0.000159,00:00:35
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260118-0640_SWINxS2.pt,0.650237,0.349763,0.481742,0.981243,0.598384,0.992733,0.650237,0.618100,0.494765,32.097848,0.347669,0.001105,0.000158,00:00:35
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260118-1436_SWINxS2.pt,0.704903,0.295097,0.544286,0.984842,0.621310,0.995753,0.704903,0.652249,0.649435,22.091363,0.490474,0.000880,0.000135,00:00:36
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260118-2357_SWINxS2.pt,0.693832,0.306168,0.531197,0.984112,0.617846,0.995104,0.693832,0.646152,0.596712,25.174190,0.448237,0.000850,0.000152,00:00:32
SWINxS2,/isipd/projects/p_planetdw/data/methods_test/models/SWIN/S2/20260119-0818_SWINxS2.pt,0.683846,0.316154,0.519580,0.982430,0.652152,0.992342,0.683846,0.664471,0.532134,30.019153,0.363794,0.001341,0.000193,00:00:33
