run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed,checkpoint_id
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251229-1641_TERRAMINDxAE.pt,0.46265,0.53735,0.30094,0.959619,0.88929,0.961021,0.46265,0.649655,0.217117,2276.088376,0.059902,-1.128192893388937e-09,0.00058,03:27:57,20251229-1641_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251229-1819_TERRAMINDxAE.pt,0.46061,0.53939,0.299216,0.959141,0.892461,0.96047,0.46061,0.64905,0.216089,2270.355679,0.059585,5.2329044258481055e-11,0.000576,09:20:53,20251229-1819_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251229-2000_TERRAMINDxAE.pt,0.464685,0.535315,0.302664,0.960312,0.8812,0.96189,0.464685,0.64864,0.22369,2241.916304,0.062964,-4.43658777784417e-10,0.000545,04:09:58,20251229-2000_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251229-2140_TERRAMINDxAE.pt,0.463273,0.536727,0.301467,0.960119,0.880471,0.961707,0.463273,0.647301,0.216607,2269.425044,0.059685,-8.904524249211751e-10,0.000579,03:53:44,20251229-2140_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251229-2321_TERRAMINDxAE.pt,0.461977,0.538023,0.300371,0.959481,0.889916,0.960868,0.461977,0.649323,0.214451,2256.783385,0.059234,-1.3509619121387974e-09,0.000676,03:29:16,20251229-2321_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251230-0105_TERRAMINDxAE.pt,0.455827,0.544173,0.295192,0.958625,0.886479,0.960064,0.455827,0.643351,0.220161,2279.645421,0.061195,3.537801217176573e-10,0.0005,03:29:58,20251230-0105_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251230-0249_TERRAMINDxAE.pt,0.461904,0.538096,0.300309,0.959726,0.884278,0.96123,0.461904,0.647459,0.219947,2261.212511,0.061295,7.455597341800764e-11,0.00052,03:37:07,20251230-0249_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251230-0433_TERRAMINDxAE.pt,0.462134,0.537866,0.300504,0.960265,0.873244,0.962,0.462134,0.644063,0.219385,2254.254947,0.06136,-1.386606417289538e-10,0.000638,03:44:10,20251230-0433_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251230-0616_TERRAMINDxAE.pt,0.46208,0.53792,0.300457,0.959638,0.886843,0.961089,0.46208,0.648421,0.217941,2287.374058,0.060186,-2.1457516042303084e-10,0.000589,03:26:30,20251230-0616_TERRAMINDxAE
TERRAMINDxAE,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/AE/20251230-0759_TERRAMINDxAE.pt,0.471165,0.528835,0.308185,0.961358,0.880607,0.962968,0.471165,0.653463,0.220557,2253.710718,0.061083,-2.779238595964894e-10,0.001892,03:26:28,20251230-0759_TERRAMINDxAE
