run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed,checkpoint_id
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260116-0743_TERRAMINDxS2.pt,0.543809,0.456191,0.373446,0.974077,0.530266,0.987397,0.543809,0.535601,0.482767,30.234717,0.352664,-1.3725991897140187e-10,0.001804,00:01:22,20260116-0743_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260116-1805_TERRAMINDxS2.pt,0.574219,0.425781,0.40274,0.975697,0.562428,0.9881,0.574219,0.567086,0.551774,25.553998,0.428147,-2.0247112561227803e-10,0.001242,00:01:21,20260116-1805_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260117-0410_TERRAMINDxS2.pt,0.536513,0.463487,0.366599,0.971602,0.564077,0.983833,0.536513,0.552718,0.459915,32.446952,0.321031,-5.864105365335393e-11,0.00218,00:01:21,20260117-0410_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260117-1411_TERRAMINDxS2.pt,0.514185,0.485815,0.346063,0.972102,0.50668,0.98607,0.514185,0.509656,0.558421,24.66437,0.4322,-2.7688019741283825e-10,0.002523,00:01:21,20260117-1411_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260117-2359_TERRAMINDxS2.pt,0.562759,0.437241,0.391555,0.977148,0.504701,0.991327,0.562759,0.526424,0.54893,25.752688,0.440322,-1.302630364381895e-10,0.001097,00:01:21,20260117-2359_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260118-1020_TERRAMINDxS2.pt,0.522423,0.477577,0.353567,0.969651,0.569685,0.981655,0.522423,0.54979,0.459514,32.28648,0.337823,-9.008874972352823e-11,0.002598,00:01:21,20260118-1020_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260118-2026_TERRAMINDxS2.pt,0.574249,0.425751,0.402769,0.976576,0.542141,0.989615,0.574249,0.554543,0.533112,27.368977,0.413605,-9.260230163905808e-11,0.002374,00:01:21,20260118-2026_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260119-0721_TERRAMINDxS2.pt,0.589289,0.410711,0.417725,0.97796,0.542636,0.991026,0.589289,0.560382,0.608416,23.431628,0.478993,-4.2661317054229905e-11,0.002098,00:01:21,20260119-0721_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260119-1730_TERRAMINDxS2.pt,0.569993,0.430007,0.398594,0.977384,0.514432,0.991278,0.569993,0.535304,0.589031,24.598865,0.494965,9.834596864146295e-11,0.001015,00:01:21,20260119-1730_TERRAMINDxS2
TERRAMINDxS2,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/S2/20260120-0233_TERRAMINDxS2.pt,0.571804,0.428196,0.400368,0.976499,0.538512,0.989644,0.571804,0.551353,0.552587,26.385505,0.423547,-1.872534740237961e-11,0.00155,00:01:21,20260120-0233_TERRAMINDxS2
