run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260120-0811_UNETxPS.pt,0.605601,0.394399,0.434310,0.980397,0.739700,0.985396,0.605601,0.679513,0.505753,95.244225,0.359943,0.000628,0.000057,00:16:57
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260120-1153_UNETxPS.pt,0.634000,0.366000,0.464129,0.981263,0.797605,0.985078,0.634000,0.722978,0.451254,115.882478,0.286363,0.000647,0.000052,00:16:56
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260121-1835_UNETxPS.pt,0.607055,0.392945,0.435806,0.978923,0.800210,0.982634,0.607055,0.709863,0.472408,106.131479,0.312130,0.000850,0.000098,00:16:59
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260121-2109_UNETxPS.pt,0.615186,0.384814,0.444237,0.980159,0.779494,0.984326,0.615186,0.704255,0.545628,88.277495,0.397211,0.000714,0.000082,00:17:01
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260123-0615_UNETxPS.pt,0.637690,0.362310,0.468095,0.981004,0.821662,0.984313,0.637690,0.736653,0.423803,119.068693,0.281103,0.000712,0.000090,00:16:58
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260123-0549_UNETxPS.pt,0.597255,0.402745,0.425776,0.979053,0.763400,0.983531,0.597255,0.686960,0.357535,131.429709,0.201436,0.000878,0.000097,00:16:56
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260124-1522_UNETxPS.pt,0.633588,0.366412,0.463688,0.980462,0.830234,0.983582,0.633588,0.738546,0.440436,116.599679,0.289298,0.000719,0.000069,00:16:56
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260124-1618_UNETxPS.pt,0.604669,0.395331,0.433352,0.979182,0.782519,0.983266,0.604669,0.700146,0.493047,106.058057,0.349214,0.000773,0.000089,00:16:54
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260126-0041_UNETxPS.pt,0.567583,0.432417,0.396242,0.977531,0.724782,0.982780,0.567583,0.652495,0.372382,125.926636,0.219095,0.000809,0.000074,00:16:54
UNETxPS,/isipd/projects/p_planetdw/data/methods_test/models/UNET/PS/20260126-0259_UNETxPS.pt,0.607952,0.392048,0.436732,0.979867,0.767223,0.984284,0.607952,0.694450,0.430993,115.022691,0.277689,0.000658,0.000081,00:16:56
