run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1046_UNETxS2.pt,0.215177,0.784823,0.120559,0.871271,0.605641,0.879243,0.215177,0.350924,0.634999,23.219988,0.518320,0.000461,0.000158,00:00:36
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1202_UNETxS2.pt,0.155397,0.844603,0.084244,0.871122,0.406894,0.885054,0.155397,0.246996,0.597508,23.806925,0.510637,0.000537,0.000112,00:00:33
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1319_UNETxS2.pt,0.219142,0.780858,0.123054,0.870848,0.621969,0.878317,0.219142,0.358426,0.610813,25.376145,0.496222,0.000562,0.000187,00:00:33
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1436_UNETxS2.pt,0.212251,0.787749,0.118725,0.872434,0.589807,0.880916,0.212251,0.344608,0.625922,24.192127,0.515079,0.000606,0.000256,00:00:34
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1553_UNETxS2.pt,0.252800,0.747200,0.144689,0.899971,0.580736,0.909552,0.252800,0.382343,0.630754,22.975810,0.512524,0.004525,0.003092,00:00:33
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1710_UNETxS2.pt,0.242733,0.757267,0.138131,0.902965,0.533729,0.914047,0.242733,0.360742,0.598008,24.641709,0.490560,0.001021,0.000339,00:00:33
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1827_UNETxS2.pt,0.233892,0.766108,0.132434,0.895257,0.548738,0.905656,0.233892,0.356683,0.593309,26.765914,0.494788,0.001772,0.000474,00:00:33
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-1943_UNETxS2.pt,0.174227,0.825773,0.095426,0.869026,0.474188,0.880876,0.174227,0.280806,0.548084,27.555846,0.447051,0.004108,0.001202,00:00:33
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-2100_UNETxS2.pt,0.212013,0.787987,0.118576,0.868858,0.605476,0.876763,0.212013,0.347508,0.620599,23.531661,0.515800,0.000621,0.000250,00:00:34
UNETxS2,/isipd/projects/p_planetdw/data/methods_test/models/UNET/S2/20260121-2217_UNETxS2.pt,0.193136,0.806864,0.106890,0.868815,0.538842,0.878718,0.193136,0.314014,0.612691,23.331358,0.508800,0.000718,0.000255,00:00:33
